"1.1 At International level (medals won) – Individual Sports"
1.1,"NCOE Name","Team Type",Category,Displine,Level,"Form Type",Male-2018_19,"Female -2018_19","Male -2019_20","Female -2019_20","Male -2020_21","Female -2020_21","Male -2021_22","Female -2021_22","Male -2022_23","Female -2022_23"
1.5,"NCOE Bengaluru",Individual,category-2,Taekwondo,International,participation,0,0,1,3,0,0,0,0,2,2
1.5,"NCOE Bengaluru",Individual,category-2,Athletics,International,participation,0,0,0,0,0,0,0,0,0,0
1.5,"NCOE Mumbai",Individual,category-2,Wrestling,International,participation,0,0,0,0,0,0,0,0,0,0
1.5,"NCOE National Water Sports Academy (KI), Alleppey",Individual,category-2,"Kayaking & Canoeing",International,participation,0,1,0,0,0,0,0,0,0,0
1.5,"NCOE National Water Sports Academy (KI), Alleppey",Individual,category-2,Rowing,International,participation,0,0,0,0,0,0,0,1,0,0
1.5,"NCOE Imphal",Individual,category-2,Archery,International,participation,0,0,0,0,0,0,0,0,0,0
1.5,"NCOE Imphal",Individual,category-2,Athletics,International,participation,0,0,0,0,0,0,0,0,0,0
1.5,"NCOE Imphal",Individual,category-2,Cycling,International,participation,0,0,5,0,0,0,0,0,0,0
1.5,"NCOE Imphal",Individual,category-2,Fencing,International,participation,0,0,1,1,0,0,0,1,6,8
1.5,"NCOE Imphal",Individual,category-2,Judo,International,participation,0,0,0,0,0,0,0,0,0,0
1.5,"NCOE Imphal",Individual,category-2,Wushu,International,participation,0,0,1,0,0,0,0,0,7,1
1.5,"NCOE Imphal",Individual,category-2,Weightlifting,International,participation,0,0,1,0,0,0,0,0,0,0
1.5,"NCOE THIRUVANANTHAPURAM",Individual,category-2,Taekwondo,International,participation,0,1,4,14,3,0,0,1,0,13
1.5,"NCOE THIRUVANANTHAPURAM",Individual,category-2,Athletics,International,participation,0,0,0,0,0,0,0,0,1,1
1.5,"NCOE THIRUVANANTHAPURAM",Individual,category-2,Cycling,International,participation,0,0,0,0,0,0,0,0,0,0
1.5,"NCOE DHARAMSHALA",Individual,category-2,Athletics,International,participation,0,3,0,0,0,0,0,0,0,0
1.5,"NCOE Sangey Lhaden Sports Academy (SLSA) Itanagar",Individual,category-2,Boxing,International,participation,0,0,0,0,0,0,0,0,0,0
1.5,"NCOE Sangey Lhaden Sports Academy (SLSA) Itanagar",Individual,category-2,Weightlifting,International,participation,0,0,0,0,0,0,0,0,0,0
1.5,"NCOE Sangey Lhaden Sports Academy (SLSA) Itanagar",Individual,category-2,Wushu,International,participation,0,0,0,0,0,0,0,0,0,0
1.5,"NCOE Sonepat",Individual,category-2,Wrestling,International,participation,0,0,0,0,0,0,0,0,0,0
1.5,"NCOE Sonepat",Individual,category-2,Athletics,International,participation,0,0,0,0,0,0,0,0,0,0
1.5,"NCOE Sonepat",Individual,category-2,Archery,International,participation,0,0,0,0,0,0,0,0,0,0
1.5,"NCOE JAGATPUR",Individual,category-2,"Kayaking & Canoeing",International,participation,0,0,0,0,0,0,0,0,0,0
1.5,"NCOE JAGATPUR",Individual,category-2,Rowing,International,participation,0,1,0,0,0,0,0,0,0,0
1.5,"NCOE I G Stadium",Individual,category-2,Gymnastics,International,participation,0,0,0,0,0,0,0,0,0,0
1.5,"NCOE Kolkata",Individual,category-2,Archery,International,participation,0,1,0,1,0,0,0,0,0,0
1.5,"NCOE Kolkata",Individual,category-2,Athletics,International,participation,0,0,0,4,0,0,0,0,0,0
1.5,"NCOE Kolkata",Individual,category-2,Gymnastics,International,participation,0,1,0,1,0,0,0,0,0,2
1.5,"NCOE Kolkata",Individual,category-2,"Table Tennis",International,participation,0,3,0,0,0,0,0,0,0,5
1.5,"NCOE Guwahati",Individual,category-2,Archery,International,participation,0,0,0,0,0,0,0,0,0,0
1.5,"NCOE Guwahati",Individual,category-2,Archery,International,participation,0,0,0,0,0,0,0,0,0,0
1.5,"NCOE Guwahati",Individual,category-2,Athletics,International,participation,0,0,0,0,0,0,0,0,0,0
1.5,"NCOE Guwahati",Individual,category-2,Boxing,International,participation,0,0,0,0,0,0,0,0,0,3
1.5,"NCOE Guwahati",Individual,category-2,Boxing,International,participation,0,0,0,0,0,0,0,0,0,3
1.5,"NCOE Guwahati",Individual,category-2,Cycling,International,participation,0,0,0,0,0,0,0,0,0,0
1.5,"NCOE Guwahati",Individual,category-2,Fencing,International,participation,0,0,0,0,0,0,0,0,1,1
"1.6 At International level (Participation) – Individual Sports"
1.6,"NCOE Name","Team Type",Category,Displine,Level,"Form Type",Male-2018_19,"Female -2018_19","Male -2019_20","Female -2019_20","Male -2020_21","Female -2020_21","Male -2021_22","Female -2021_22","Male -2022_23","Female -2022_23"
1.6,"NCOE Bengaluru",Individual,category-3,Taekwondo,International,participation,0,0,3,6,0,3,0,2,4,8
1.6,"NCOE Bengaluru",Individual,category-3,Weightlifting,International,participation,0,0,0,0,0,0,0,0,0,0
1.6,"NCOE Bengaluru",Individual,category-3,Athletics,International,participation,0,0,2,0,0,0,0,0,2,2
1.6,"NCOE Mumbai",Individual,category-3,Wrestling,International,participation,0,0,0,0,0,0,0,0,1,0
1.6,"NCOE National Water Sports Academy (KI), Alleppey",Individual,category-3,"Kayaking & Canoeing",International,participation,0,0,0,0,0,0,0,0,0,0
1.6,"NCOE National Water Sports Academy (KI), Alleppey",Individual,category-3,Rowing,International,participation,0,0,0,0,0,0,0,0,0,0
1.6,"NCOE Imphal",Individual,category-3,Archery,International,participation,0,0,0,0,0,0,0,0,0,0
1.6,"NCOE Imphal",Individual,category-3,Athletics,International,participation,0,0,0,0,0,0,0,0,0,0
1.6,"NCOE Imphal",Individual,category-3,Cycling,International,participation,0,0,0,0,0,0,0,0,0,0
1.6,"NCOE Imphal",Individual,category-3,Fencing,International,participation,0,0,0,0,0,0,0,0,0,0
1.6,"NCOE Imphal",Individual,category-3,Judo,International,participation,0,0,0,0,0,0,0,0,0,0
1.6,"NCOE Imphal",Individual,category-3,Wushu,International,participation,0,0,0,0,0,0,0,0,0,0
1.6,"NCOE Imphal",Individual,category-3,Weightlifting,International,participation,0,0,0,0,0,0,0,0,0,0
1.6,"NCOE THIRUVANANTHAPURAM",Individual,category-3,Taekwondo,International,participation,0,0,0,0,0,0,0,0,0,0
1.6,"NCOE THIRUVANANTHAPURAM",Individual,category-3,Cycling,International,participation,0,0,0,0,0,0,0,0,0,0
1.6,"NCOE DHARAMSHALA",Individual,category-3,Athletics,International,participation,0,0,0,0,0,0,0,0,0,0
1.6,"NCOE Sangey Lhaden Sports Academy (SLSA) Itanagar",Individual,category-3,Boxing,International,participation,0,0,0,0,0,0,0,0,1,0
1.6,"NCOE Sangey Lhaden Sports Academy (SLSA) Itanagar",Individual,category-3,Weightlifting,International,participation,0,0,0,0,0,0,0,0,0,0
1.6,"NCOE Sangey Lhaden Sports Academy (SLSA) Itanagar",Individual,category-3,Wushu,International,participation,0,0,0,0,0,0,0,0,0,0
1.6,"NCOE Sonepat",Individual,category-3,Wrestling,International,participation,0,0,0,0,0,0,0,0,0,0
1.6,"NCOE Sonepat",Individual,category-3,Athletics,International,participation,0,0,0,0,0,0,0,0,0,0
1.6,"NCOE Sonepat",Individual,category-3,Archery,International,participation,0,0,0,0,0,0,0,0,0,0
1.6,"NCOE JAGATPUR",Individual,category-3,"Kayaking & Canoeing",International,participation,0,0,0,0,0,0,0,0,0,0
1.6,"NCOE JAGATPUR",Individual,category-3,Rowing,International,participation,0,0,0,0,0,0,0,0,0,0
1.6,"NCOE I G Stadium",Individual,category-3,Gymnastics,International,participation,0,0,0,0,0,0,0,0,0,0
1.6,"NCOE Kolkata",Individual,category-3,Archery,International,participation,0,0,0,1,0,0,0,0,0,0
1.6,"NCOE Kolkata",Individual,category-3,Athletics,International,participation,0,0,1,0,0,0,0,0,0,0
1.6,"NCOE Kolkata",Individual,category-3,Gymnastics,International,participation,0,0,0,0,0,0,0,0,0,0
1.6,"NCOE Kolkata",Individual,category-3,"Table Tennis",International,participation,0,0,0,0,0,0,0,0,0,0
